model,accuracy,precision,recall,f1,auc,aupr
SNF_AdaBoost_cosine_sim_hope,0.962,0.999,0.925,0.96,0.999,0.999
SNF_AdaBoost_cosine_sim_lap,0.984,0.998,0.97,0.984,0.985,0.992
SNF_AdaBoost_cosine_sim_lle,0.983,0.999,0.966,0.982,0.984,0.992
SNF_AdaBoost_Pearson_corr_sim_hope,0.964,1.0,0.928,0.962,1.0,1.0
SNF_AdaBoost_Pearson_corr_sim_lap,0.986,0.999,0.973,0.985,0.993,0.997
SNF_AdaBoost_Pearson_corr_sim_lle,0.985,0.999,0.972,0.985,0.992,0.996
SNF_hope_cosine_sim_XGBoost,0.973,0.998,0.948,0.972,1.0,1.0
SNF_lap_cosine_sim_XGBoost,0.984,0.999,0.968,0.983,0.999,0.999
SNF_lle_cosine_sim_XGBoost,0.983,0.999,0.968,0.983,0.999,0.999
SNF_hope_Pearson_corr_sim_XGBoost,0.973,0.997,0.948,0.972,0.999,0.999
SNF_lap_Pearson_corr_sim_XGBoost,0.983,0.999,0.967,0.983,0.999,0.999
SNF_lle_Pearson_corr_sim_XGBoost,0.984,0.999,0.968,0.983,0.999,0.999
SNF_ANN_cosine_sim_hope,0.987,0.999,0.975,0.986,0.996,0.997
SNF_ANN_cosine_sim_lap,0.975,0.999,0.951,0.974,0.994,0.996
SNF_ANN_cosine_sim_lle,0.975,1.0,0.951,0.975,0.994,0.996
SNF_ANN_Pearson_corr_sim_hope,0.988,0.999,0.976,0.987,0.995,0.997
SNF_ANN_Pearson_corr_sim_lap,0.975,0.997,0.954,0.975,0.995,0.996
SNF_ANN_Pearson_corr_sim_lle,0.978,0.998,0.958,0.978,0.996,0.997
AVG_AdaBoost_cosine_sim_hope,0.97,0.999,0.942,0.969,0.998,0.998
AVG_AdaBoost_cosine_sim_lap,0.977,0.998,0.956,0.976,0.994,0.996
AVG_AdaBoost_cosine_sim_lle,0.975,0.999,0.951,0.974,0.991,0.995
AVG_AdaBoost_Pearson_corr_sim_hope,0.968,0.999,0.936,0.966,0.993,0.996
AVG_AdaBoost_Pearson_corr_sim_lap,0.984,0.998,0.97,0.984,0.992,0.996
AVG_AdaBoost_Pearson_corr_sim_lle,0.986,0.998,0.974,0.986,0.991,0.995
AVG_XGBoost_cosine_sim_hope,0.976,0.997,0.955,0.976,1.0,1.0
AVG_XGBoost_cosine_sim_lap,0.98,1.0,0.961,0.98,0.998,0.999
AVG_XGBoost_cosine_sim_lle,0.983,1.0,0.966,0.983,0.999,0.999
AVG_XGBoost_Pearson_corr_sim_hope,0.977,0.997,0.956,0.976,1.0,1.0
AVG_XGBoost_Pearson_corr_sim_lap,0.984,0.999,0.969,0.984,0.999,0.999
AVG_XGBoost_Pearson_corr_sim_lle,0.985,1.0,0.971,0.985,0.999,0.999
AVG_ANN_cosine_sim_hope,0.987,0.998,0.975,0.986,0.996,0.997
AVG_ANN_cosine_sim_lap,0.975,0.999,0.951,0.974,0.994,0.996
AVG_ANN_cosine_sim_lle,0.976,1.0,0.953,0.975,0.994,0.996
AVG_ANN_Pearson_corr_sim_hope,0.987,0.997,0.976,0.987,0.996,0.997
AVG_ANN_Pearson_corr_sim_lap,0.977,0.998,0.955,0.976,0.996,0.997
AVG_ANN_Pearson_corr_sim_lle,0.976,0.996,0.956,0.975,0.995,0.996
MAX_AdaBoost_cosine_sim_hope,0.98,0.999,0.962,0.98,1.0,1.0
MAX_AdaBoost_cosine_sim_lap,0.982,0.999,0.965,0.981,0.983,0.991
MAX_AdaBoost_cosine_sim_lle,0.979,0.999,0.959,0.978,0.984,0.992
MAX_AdaBoost_Pearson_corr_sim_hope,0.976,0.999,0.953,0.975,0.999,0.999
MAX_AdaBoost_Pearson_corr_sim_lap,0.983,0.998,0.967,0.982,0.99,0.995
MAX_AdaBoost_Pearson_corr_sim_lle,0.989,0.999,0.979,0.989,0.991,0.995
MAX_XGBoost_cosine_sim_hope,0.977,1.0,0.955,0.977,1.0,1.0
MAX_XGBoost_cosine_sim_lap,0.985,0.999,0.971,0.985,0.999,0.999
MAX_XGBoost_cosine_sim_lle,0.976,0.999,0.953,0.975,0.999,0.999
MAX_XGBoost_Pearson_corr_sim_hope,0.976,1.0,0.953,0.976,1.0,1.0
MAX_XGBoost_Pearson_corr_sim_lap,0.986,0.999,0.972,0.985,1.0,1.0
MAX_XGBoost_Pearson_corr_sim_lle,0.985,0.999,0.971,0.985,1.0,1.0
MAX_ANN_cosine_sim_hope,0.989,0.997,0.98,0.988,0.997,0.998
MAX_ANN_cosine_sim_lap,0.981,0.999,0.963,0.98,0.993,0.996
MAX_ANN_cosine_sim_lle,0.979,0.999,0.959,0.978,0.992,0.995
MAX_ANN_Pearson_corr_sim_hope,0.988,0.998,0.978,0.988,0.997,0.998
MAX_ANN_Pearson_corr_sim_lap,0.986,0.999,0.972,0.985,0.995,0.997
MAX_ANN_Pearson_corr_sim_lle,0.984,0.998,0.97,0.983,0.995,0.997
