model,accuracy,precision,recall,f1,auc,aupr
SNF_AdaBoost_cosine_sim_hope,0.913,1.0,0.825,0.901,0.943,0.971
SNF_AdaBoost_cosine_sim_lap,0.957,0.993,0.919,0.955,0.96,0.978
SNF_AdaBoost_cosine_sim_lle,0.954,1.0,0.907,0.949,0.953,0.977
SNF_AdaBoost_Pearson_corr_sim_hope,0.913,0.996,0.83,0.902,0.926,0.962
SNF_AdaBoost_Pearson_corr_sim_lap,0.957,0.997,0.918,0.955,0.957,0.978
SNF_AdaBoost_Pearson_corr_sim_lle,0.952,1.0,0.904,0.948,0.952,0.976
SNF_hope_cosine_sim_XGBoost,0.906,1.0,0.812,0.894,0.996,0.996
SNF_lap_cosine_sim_XGBoost,0.957,0.998,0.916,0.955,0.997,0.998
SNF_lle_cosine_sim_XGBoost,0.96,1.0,0.92,0.958,0.997,0.997
SNF_hope_Pearson_corr_sim_XGBoost,0.906,1.0,0.812,0.894,0.995,0.995
SNF_lap_Pearson_corr_sim_XGBoost,0.956,1.0,0.912,0.954,0.998,0.998
SNF_lle_Pearson_corr_sim_XGBoost,0.958,1.0,0.916,0.956,0.998,0.998
SNF_ANN_cosine_sim_hope,0.965,1.0,0.929,0.963,0.98,0.986
SNF_ANN_cosine_sim_lap,0.961,0.998,0.924,0.96,0.983,0.989
SNF_ANN_cosine_sim_lle,0.961,0.997,0.926,0.96,0.979,0.987
SNF_ANN_Pearson_corr_sim_hope,0.97,1.0,0.94,0.969,0.99,0.993
SNF_ANN_Pearson_corr_sim_lap,0.965,1.0,0.931,0.964,0.985,0.99
SNF_ANN_Pearson_corr_sim_lle,0.963,0.998,0.928,0.962,0.983,0.989
AVG_AdaBoost_cosine_sim_hope,0.92,0.995,0.844,0.909,0.933,0.966
AVG_AdaBoost_cosine_sim_lap,0.947,0.997,0.897,0.942,0.947,0.973
AVG_AdaBoost_cosine_sim_lle,0.963,1.0,0.926,0.961,0.963,0.981
AVG_AdaBoost_Pearson_corr_sim_hope,0.917,0.996,0.836,0.906,0.937,0.967
AVG_AdaBoost_Pearson_corr_sim_lap,0.924,0.995,0.853,0.915,0.924,0.961
AVG_AdaBoost_Pearson_corr_sim_lle,0.957,0.998,0.915,0.954,0.957,0.978
AVG_XGBoost_cosine_sim_hope,0.909,0.997,0.822,0.898,0.998,0.998
AVG_XGBoost_cosine_sim_lap,0.957,0.998,0.915,0.954,0.996,0.997
AVG_XGBoost_cosine_sim_lle,0.963,1.0,0.926,0.961,0.997,0.997
AVG_XGBoost_Pearson_corr_sim_hope,0.913,0.998,0.827,0.902,0.998,0.998
AVG_XGBoost_Pearson_corr_sim_lap,0.954,0.997,0.91,0.951,0.998,0.998
AVG_XGBoost_Pearson_corr_sim_lle,0.961,1.0,0.921,0.959,0.997,0.997
AVG_ANN_cosine_sim_hope,0.969,1.0,0.938,0.968,0.989,0.992
AVG_ANN_cosine_sim_lap,0.962,1.0,0.924,0.961,0.982,0.988
AVG_ANN_cosine_sim_lle,0.961,1.0,0.921,0.959,0.979,0.987
AVG_ANN_Pearson_corr_sim_hope,0.971,1.0,0.942,0.97,0.991,0.994
AVG_ANN_Pearson_corr_sim_lap,0.964,0.998,0.929,0.962,0.987,0.991
AVG_ANN_Pearson_corr_sim_lle,0.965,1.0,0.931,0.964,0.988,0.991
MAX_AdaBoost_cosine_sim_hope,0.926,0.995,0.856,0.917,0.937,0.967
MAX_AdaBoost_cosine_sim_lap,0.968,0.995,0.94,0.966,0.968,0.983
MAX_AdaBoost_cosine_sim_lle,0.972,0.997,0.948,0.972,0.972,0.985
MAX_AdaBoost_Pearson_corr_sim_hope,0.918,0.995,0.841,0.909,0.935,0.966
MAX_AdaBoost_Pearson_corr_sim_lap,0.945,0.995,0.894,0.941,0.945,0.971
MAX_AdaBoost_Pearson_corr_sim_lle,0.954,0.993,0.915,0.951,0.954,0.975
MAX_XGBoost_cosine_sim_hope,0.908,0.994,0.82,0.897,0.993,0.993
MAX_XGBoost_cosine_sim_lap,0.958,0.998,0.918,0.956,0.995,0.996
MAX_XGBoost_cosine_sim_lle,0.967,0.998,0.935,0.965,0.996,0.997
MAX_XGBoost_Pearson_corr_sim_hope,0.906,0.994,0.816,0.894,0.992,0.993
MAX_XGBoost_Pearson_corr_sim_lap,0.945,0.996,0.893,0.94,0.994,0.995
MAX_XGBoost_Pearson_corr_sim_lle,0.946,0.996,0.896,0.942,0.996,0.996
MAX_ANN_cosine_sim_hope,0.971,1.0,0.942,0.97,0.99,0.993
MAX_ANN_cosine_sim_lap,0.969,1.0,0.939,0.968,0.982,0.989
MAX_ANN_cosine_sim_lle,0.968,1.0,0.935,0.967,0.98,0.989
MAX_ANN_Pearson_corr_sim_hope,0.976,1.0,0.951,0.975,0.991,0.994
MAX_ANN_Pearson_corr_sim_lap,0.973,1.0,0.946,0.972,0.992,0.994
MAX_ANN_Pearson_corr_sim_lle,0.973,1.0,0.946,0.972,0.991,0.994
