model,accuracy,precision,recall,f1,auc,aupr
SNF_AdaBoost_cosine_sim_hope,0.984,0.999,0.97,0.984,0.984,0.992
SNF_AdaBoost_cosine_sim_lap,0.967,0.999,0.936,0.966,0.967,0.984
SNF_AdaBoost_cosine_sim_lle,0.976,0.999,0.953,0.975,0.976,0.987
SNF_AdaBoost_Pearson_corr_sim_hope,0.984,0.999,0.969,0.983,0.984,0.992
SNF_AdaBoost_Pearson_corr_sim_lap,0.968,0.999,0.937,0.967,0.968,0.984
SNF_AdaBoost_Pearson_corr_sim_lle,0.974,0.999,0.949,0.973,0.974,0.987
SNF_hope_cosine_sim_XGBoost,0.981,1.0,0.963,0.981,1.0,1.0
SNF_lap_cosine_sim_XGBoost,0.976,1.0,0.951,0.975,0.999,0.999
SNF_lle_cosine_sim_XGBoost,0.976,1.0,0.953,0.975,1.0,1.0
SNF_hope_Pearson_corr_sim_XGBoost,0.98,1.0,0.959,0.979,1.0,1.0
SNF_lap_Pearson_corr_sim_XGBoost,0.972,0.999,0.945,0.971,0.999,0.999
SNF_lle_Pearson_corr_sim_XGBoost,0.976,1.0,0.953,0.976,0.999,0.999
SNF_ANN_cosine_sim_hope,0.99,0.999,0.98,0.99,0.997,0.998
SNF_ANN_cosine_sim_lap,0.985,0.999,0.971,0.984,0.992,0.995
SNF_ANN_cosine_sim_lle,0.987,0.999,0.974,0.987,0.993,0.996
SNF_ANN_Pearson_corr_sim_hope,0.989,1.0,0.978,0.989,0.998,0.999
SNF_ANN_Pearson_corr_sim_lap,0.984,0.998,0.971,0.984,0.989,0.994
SNF_ANN_Pearson_corr_sim_lle,0.985,0.998,0.972,0.985,0.99,0.995
AVG_AdaBoost_cosine_sim_hope,0.978,0.998,0.959,0.977,0.98,0.99
AVG_AdaBoost_cosine_sim_lap,0.965,0.999,0.931,0.964,0.965,0.982
AVG_AdaBoost_cosine_sim_lle,0.966,0.997,0.934,0.964,0.966,0.982
AVG_AdaBoost_Pearson_corr_sim_hope,0.984,0.999,0.968,0.983,0.984,0.992
AVG_AdaBoost_Pearson_corr_sim_lap,0.971,0.999,0.942,0.97,0.971,0.985
AVG_AdaBoost_Pearson_corr_sim_lle,0.966,0.999,0.934,0.965,0.966,0.983
AVG_XGBoost_cosine_sim_hope,0.982,1.0,0.963,0.981,0.998,0.998
AVG_XGBoost_cosine_sim_lap,0.97,0.999,0.94,0.969,0.997,0.998
AVG_XGBoost_cosine_sim_lle,0.97,1.0,0.939,0.968,0.995,0.997
AVG_XGBoost_Pearson_corr_sim_hope,0.982,1.0,0.963,0.981,0.998,0.998
AVG_XGBoost_Pearson_corr_sim_lap,0.972,1.0,0.943,0.97,0.998,0.998
AVG_XGBoost_Pearson_corr_sim_lle,0.968,1.0,0.936,0.966,0.997,0.998
AVG_ANN_cosine_sim_hope,0.988,0.999,0.978,0.988,0.997,0.998
AVG_ANN_cosine_sim_lap,0.984,0.999,0.968,0.983,0.993,0.995
AVG_ANN_cosine_sim_lle,0.987,1.0,0.974,0.987,0.992,0.996
AVG_ANN_Pearson_corr_sim_hope,0.989,1.0,0.978,0.989,0.999,0.999
AVG_ANN_Pearson_corr_sim_lap,0.987,1.0,0.974,0.987,0.992,0.996
AVG_ANN_Pearson_corr_sim_lle,0.987,0.999,0.974,0.987,0.991,0.995
MAX_AdaBoost_cosine_sim_hope,0.983,0.997,0.969,0.982,0.985,0.992
MAX_AdaBoost_cosine_sim_lap,0.968,0.998,0.938,0.967,0.968,0.984
MAX_AdaBoost_cosine_sim_lle,0.966,0.999,0.934,0.965,0.966,0.983
MAX_AdaBoost_Pearson_corr_sim_hope,0.984,0.997,0.971,0.984,0.984,0.991
MAX_AdaBoost_Pearson_corr_sim_lap,0.991,0.999,0.982,0.99,0.991,0.995
MAX_AdaBoost_Pearson_corr_sim_lle,0.987,0.998,0.977,0.987,0.987,0.993
MAX_XGBoost_cosine_sim_hope,0.993,0.999,0.986,0.992,1.0,1.0
MAX_XGBoost_cosine_sim_lap,0.975,1.0,0.95,0.974,0.999,1.0
MAX_XGBoost_cosine_sim_lle,0.976,0.999,0.954,0.976,0.999,1.0
MAX_XGBoost_Pearson_corr_sim_hope,0.992,1.0,0.984,0.992,1.0,1.0
MAX_XGBoost_Pearson_corr_sim_lap,0.988,1.0,0.977,0.988,0.999,0.999
MAX_XGBoost_Pearson_corr_sim_lle,0.99,1.0,0.98,0.99,0.999,0.999
MAX_ANN_cosine_sim_hope,0.992,1.0,0.983,0.991,0.997,0.998
MAX_ANN_cosine_sim_lap,0.988,0.999,0.978,0.988,0.994,0.997
MAX_ANN_cosine_sim_lle,0.987,0.999,0.976,0.987,0.994,0.997
MAX_ANN_Pearson_corr_sim_hope,0.991,1.0,0.982,0.991,0.997,0.998
MAX_ANN_Pearson_corr_sim_lap,0.989,0.999,0.98,0.989,0.995,0.997
MAX_ANN_Pearson_corr_sim_lle,0.989,0.999,0.979,0.989,0.994,0.997
